ds,yhat,yhat_lower,yhat_upper
2018-03-15,124.05043674244448,109.30690178685424,139.2143291858891
2018-03-16,122.73712416757749,108.03507793273154,138.74610992750758
2018-03-18,124.85641554780435,109.4457305715184,140.37766310723921
2018-03-19,122.32983983390274,106.61398142475684,137.06667850767258
2018-03-23,122.72421934218445,106.69297493718695,137.84742958735453
2018-03-24,123.79281897597711,108.42428924656097,138.9649214962366
2018-03-25,124.84351072241158,109.59662778886283,139.92550778009561
2018-03-26,122.31693500851246,107.18985828146154,138.6407544190691
2018-03-28,124.61271671703743,109.47714403452565,140.44184095360686
2018-04-01,124.83060589702116,110.62581711674224,140.87512154225112
2018-04-02,122.30403018312215,106.72192631962432,137.5403280681129
2018-04-04,124.5998118916476,109.32494517821071,139.61640794115826
2018-04-05,124.01172226627502,108.704715215075,139.3312513499793
2018-04-06,122.69840969140594,108.17677633610877,138.57913650322647
2018-04-09,122.29112533911987,107.14475094686178,138.4514422811408
2018-04-10,124.04231343242813,109.27397255541864,138.98050129304627
2018-04-11,124.58690703523739,109.10991046065548,140.71440580213186
2018-04-13,122.68550482258355,107.2839453433989,138.5683584362688
2018-04-15,124.8047961904026,109.3774585870709,139.8980729881587
2018-04-16,122.27822047030025,106.81511897146004,137.7379990617274
2018-04-17,124.02940856361103,108.6755750427723,140.5310472715335
2018-04-19,123.98591253483937,108.71343152297008,139.64028302768762
2018-04-20,122.67259995376875,107.83344734585869,139.45617586234522
2018-04-21,123.74119958134878,107.7476968638518,139.30197118907702
2018-04-23,122.26531560148001,106.64217652979178,138.29607936036115
2018-04-25,124.56109729759682,108.46622550920121,139.73842883775765
2018-04-27,122.65969508494638,108.05460495717571,138.6674335967072
2018-04-28,123.7282947125333,109.6480511877815,140.33795567709248
2018-04-29,124.77898645276306,110.3054935992868,141.17623090648
2018-04-30,122.25241074809067,107.3412835581151,137.91968458695615
2018-05-01,124.00359885682724,107.37611533386519,139.71472916003495
2018-05-04,122.64679029327954,108.16823065975571,138.0831337003401
2018-05-05,123.71538993629589,108.0300287841879,138.17374864624526
2018-05-06,124.76608169195528,109.02711577753702,140.332134063731
2018-05-09,124.53528771426242,108.85103691279488,140.55685709784203
2018-05-11,122.63388553247184,106.30053964474637,137.2654208879457
2018-05-13,124.75317693114981,109.8961103902213,140.7503833102341
2018-05-14,122.2266012264759,105.44245144143028,137.4812213404829
2018-05-15,123.97778933521452,108.93243994582807,139.32121099109077
2018-05-16,124.5223829534558,109.38239007470325,139.20937236965057
2018-05-18,122.62098077166556,107.42027476931416,137.85822528596233
2018-05-19,123.6895804146856,107.92486133905189,138.4871056005533
2018-05-24,123.92138857649554,109.42109713980275,139.75364124385396
2018-05-25,122.60807601085926,107.52261707173476,137.42625025491174
2018-05-27,124.72736740953187,110.118398635967,141.14656476957117
2018-05-29,123.95197981455978,109.50763875170722,138.50569930200982
2018-05-30,124.49657343327725,109.03522727921444,138.7890709557426
2018-06-02,123.66377089594994,108.74691984740913,139.44121840150888
2018-06-03,124.71446265208623,109.21067936264507,140.13124394245605
2018-06-04,122.18788694789716,107.58399152226826,138.27496459248084
2018-06-05,123.93907505711556,108.11166406967449,139.56942286450516
2018-06-06,124.4836686758356,109.47513365755219,140.0206106364504
2018-06-07,123.89557906016753,107.3242921555269,140.36120672359883
2018-06-09,123.65086613850498,107.41608075509377,139.48724275461285
2018-06-12,123.92617029967136,107.98261923890973,139.2691524731271
2018-06-13,124.4707639183877,109.34466830037368,139.50955433137568
2018-06-14,123.88267430272366,106.91615035627453,138.2289697678142
2018-06-15,122.56936173756141,107.4823187771325,139.18774067765324
2018-06-16,123.63796134888027,108.5242615652159,139.23825530066134
2018-06-18,122.16207733646748,107.8266491845256,137.61546463759626
